timestamp,pod,status,memory_current_mi,memory_events_high,memory_events_oom_kill
2026-06-07T23:14:15-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:15-04:00,aggressor,Running,10750,0,0
2026-06-07T23:14:17-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:17-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:17-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:17-04:00,aggressor,Running,10951,0,0
2026-06-07T23:14:19-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:19-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:19-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:19-04:00,aggressor,Running,11180,0,0
2026-06-07T23:14:22-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:22-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:22-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:22-04:00,aggressor,Running,11404,0,0
2026-06-07T23:14:24-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:24-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:24-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:24-04:00,aggressor,Running,11604,0,0
2026-06-07T23:14:26-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:26-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:26-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:26-04:00,aggressor,Running,11805,0,0
2026-06-07T23:14:28-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:28-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:28-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:28-04:00,aggressor,Running,12006,0,0
2026-06-07T23:14:31-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:31-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:31-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:31-04:00,aggressor,Running,12207,0,0
2026-06-07T23:14:33-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:33-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:33-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:33-04:00,aggressor,Running,12459,0,0
2026-06-07T23:14:35-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:35-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:35-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:35-04:00,aggressor,Running,12660,0,0
2026-06-07T23:14:38-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:38-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:38-04:00,besteffort-holder,Running,205,0,0
2026-06-07T23:14:38-04:00,aggressor,Running,12860,0,0
2026-06-07T23:14:40-04:00,guaranteed-holder,Running,106,0,0
2026-06-07T23:14:40-04:00,burstable-holder,Running,104,0,0
2026-06-07T23:14:40-04:00,besteffort-holder,Running,205,0,0
